ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00013307	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-10b-3p		
A_25_P00013311	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-34a-3p		
A_25_P00013315	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-181a-2-3p		
A_25_P00013319	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-181c-3p		
A_25_P00013323	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-183-3p		
A_25_P00013327	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-187-5p		
A_25_P00013331	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-196a-3p		
A_25_P00013339	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-218-1-3p		
A_25_P00013343	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-218-2-3p		
A_25_P00013346	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-221-5p		
A_25_P00013351	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-222-5p		
A_25_P00013359	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200b-5p		
A_25_P00013363	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-let-7g-3p		
A_25_P00013367	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-let-7i-3p		
A_25_P00013371	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-15b-3p		
A_25_P00013375	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-23b-5p		
A_25_P00013387	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-122-3p		
A_25_P00013391	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-124-5p		
A_25_P00013395	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-125b-1-3p		
A_25_P00013399	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-130a-5p		
A_25_P00013401	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-132-5p		
A_25_P00013411	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-138-2-3p		
A_25_P00013415	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-141-5p		
A_25_P00013419	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-143-5p		
A_25_P00013423	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-144-5p		
A_25_P00013427	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-145-3p		
A_25_P00013436	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-136-3p		
A_25_P00013441	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-138-1-3p		
A_25_P00013449	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-149-3p		
A_25_P00013461	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-186-3p		
A_25_P00013469	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-200c-5p		
A_25_P00013473	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-155-3p		
A_25_P00013477	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-194-3p		
A_25_P00013481	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-106b-3p		
A_25_P00013484	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-29c-5p		
A_25_P00013489	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-30c-1-3p		
A_25_P00013493	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302a-5p		
A_25_P00013503	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-130b-5p		
A_25_P00013513	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302b-5p		
A_25_P00013517	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302d-5p		
A_25_P00013521	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-367-5p		
A_25_P00013529	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-376a-5p		
A_25_P00013533	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-377-5p		
A_25_P00013539	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-379-3p		
A_25_P00013546	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-340-3p		
A_25_P00013551	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-135b-3p		
A_25_P00013555	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-148b-5p		
A_25_P00013559	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-335-3p		
A_25_P00013562	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-424-3p		
A_25_P00013565	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-425-3p		
A_25_P00013571	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-18b-3p		
A_25_P00013575	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-20b-3p		
A_25_P00013579	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-431-3p		
A_25_P00013583	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-452-3p		
A_25_P00013588	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-202-5p		
A_25_P00013597	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-193b-5p		
A_25_P00013601	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-497-3p		
A_25_P00013608	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-505-5p		
A_25_P00013612	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-545-5p		
A_25_P00013616	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-92b-5p		
A_25_P00013620	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-551b-5p		
A_25_P00013643	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-625-3p		
A_25_P00013651	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-33b-3p		
A_25_P00013655	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-411-3p		
A_25_P00013667	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-541-5p		
A_25_P00013671	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-708-3p		
A_25_P00013683	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-374b-3p		
A_25_P00013881	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-129-5p		
A_25_P00013893	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-199b-5p		
A_25_P00013898	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-211-5p		
A_25_P00013909	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-219a-5p		
A_25_P00013928	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-135a-5p		
A_25_P00013941	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-125a-3p		
A_25_P00013962	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-190a-5p		
A_25_P00013970	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-34c-5p		
A_25_P00013984	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-362-5p		
A_25_P00013991	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-369-3p		
A_25_P00013993	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-371a-3p		
A_25_P00014003	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-380-3p		
A_25_P00014050	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-449a		
A_25_P00014053	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-452-5p		
A_25_P00014074	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-490-3p		
A_25_P00014081	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-146b-5p		
A_25_P00014102	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520f-3p		
A_25_P00014110	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520a-5p		
A_25_P00014113	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520a-3p		
A_25_P00014118	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-523-3p		
A_25_P00014129	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-524-3p		
A_25_P00014130	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-519d-3p		
A_25_P00014134	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-516b-5p		
A_25_P00014141	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518a-3p		
A_25_P00014144	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518d-3p		
A_25_P00014151	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-516a-5p		
A_25_P00014154	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-516a-3p		
A_25_P00014161	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-501-5p		
A_25_P00014164	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-502-5p		
A_25_P00014173	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-508-3p		
A_25_P00014175	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-509-5p		
A_25_P00014179	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-532-5p		
A_25_P00014182	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-455-5p		
A_25_P00014229	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-577		
A_25_P00014242	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548a-3p		
A_25_P00014251	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548b-3p		
A_25_P00014257	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-590-5p		
A_25_P00014334	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548d-3p		
A_25_P00014341	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-654-5p		
A_25_P00014346	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-656-3p		
A_25_P00014494	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-24-1-5p		
A_25_P00014532	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-192-3p		
A_25_P00014557	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-214-5p		
A_25_P00014589	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-125b-2-3p		
A_25_P00014590	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-126-5p		
A_25_P00014608	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-34b-5p		
A_25_P00014611	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-30e-3p		
A_25_P00014621	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-378a-5p		
A_25_P00014625	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-380-5p		
A_25_P00014634	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-488-5p		
A_25_P00014636	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-493-5p		
A_25_P00014645	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-500a-3p		
A_25_P00014659	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-589-3p		
A_25_P00014662	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-550a-3p		
A_25_P00014663	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-593-5p		
A_25_P00014669	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-616-5p		
A_25_P00014671	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-624-5p		
A_25_P00014678	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-629-3p		
A_25_P00014685	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-454-5p		
A_25_P00014822	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-31-5p		
A_25_P00014823	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-95-3p		
A_25_P00014831	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-208a-3p		
A_25_P00014840	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-124-3p		
A_25_P00014856	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-323a-3p		
A_25_P00014860	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-429		
A_25_P00014864	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-202-3p		
A_25_P00014866	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-497-5p		
A_25_P00014867	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-515-5p		
A_25_P00014870	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518e-5p		
A_25_P00014871	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-519c-3p		
A_25_P00014874	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-525-5p		
A_25_P00014875	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518f-3p		
A_25_P00014880	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-520h		
A_25_P00014884	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-502-3p		
A_25_P00014885	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-503-5p		
A_25_P00014887	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-513a-5p		
A_25_P00014894	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-551b-3p		
A_25_P00014898	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-582-5p		
A_25_P00014904	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-542-3p		
A_25_P00014914	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-885-5p		
A_25_P00014917	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-208b-3p		
A_25_P00014918	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-509-3-5p		
A_25_P00014941	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1229-3p		
A_25_P00014945	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1231		
A_25_P00014960	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1237-3p		
A_25_P00014976	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-30a-3p		
A_25_P00014977	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-101-5p		
A_25_P00014980	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-99b-3p		
A_25_P00015004	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1226-5p		
A_25_P00015032	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1264		
A_25_P00015039	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1296-5p		
A_25_P00015041	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1323		
A_25_P00015043	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1271-5p		
A_25_P00015047	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1185-5p		
A_25_P00015050	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1283		
A_25_P00015052	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1298-5p		
A_25_P00015054	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1178-3p		
A_25_P00015056	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1179		
A_25_P00015060	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1181		
A_25_P00015062	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1182		
A_25_P00015064	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1183		
A_25_P00015066	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1184		
A_25_P00015067	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1226-3p		
A_25_P00015069	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1236-3p		
A_25_P00015070	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1238-3p		
A_25_P00015072	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1200		
A_25_P00015078	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1203		
A_25_P00015080	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-663b		
A_25_P00015082	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1204		
A_25_P00015084	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1205		
A_25_P00015086	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1206		
A_25_P00015090	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1207-3p		
A_25_P00015092	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1208		
A_25_P00015094	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548e-3p		
A_25_P00015097	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548j-5p		
A_25_P00015099	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1285-3p		
A_25_P00015101	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1286		
A_25_P00015103	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1287-5p		
A_25_P00015105	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1289		
A_25_P00015109	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1291		
A_25_P00015111	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548k		
A_25_P00015113	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1293		
A_25_P00015115	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1294		
A_25_P00015117	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1295a		
A_25_P00015120	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1297		
A_25_P00015126	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548l		
A_25_P00015128	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1302		
A_25_P00015130	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1303		
A_25_P00015132	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1304-5p		
A_25_P00015134	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1305		
A_25_P00015136	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1243		
A_25_P00015139	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1244		
A_25_P00015141	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1245a		
A_25_P00015145	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1247-5p		
A_25_P00015147	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1248		
A_25_P00015151	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1250-5p		
A_25_P00015153	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1251-5p		
A_25_P00015158	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1254		
A_25_P00015161	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1255a		
A_25_P00015163	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1256		
A_25_P00015165	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1257		
A_25_P00015167	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1258		
A_25_P00015175	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548g-3p		
A_25_P00015179	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1262		
A_25_P00015181	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1263		
A_25_P00015183	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548n		
A_25_P00015185	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548m		
A_25_P00015187	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1265		
A_25_P00015189	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548av-3p		
A_25_P00015191	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1266-5p		
A_25_P00015193	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1267		
A_25_P00015197	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1269a		
A_25_P00015199	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1270		
A_25_P00015201	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1272		
A_25_P00015203	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1273a		
A_25_P00015208	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548h-5p		
A_25_P00015212	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1276		
A_25_P00015215	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302e		
A_25_P00015219	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-302f		
A_25_P00015220	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1277-3p		
A_25_P00015222	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548p		
A_25_P00015225	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-548i		
A_25_P00015227	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1278		
A_25_P00015229	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1279		
A_25_P00015235	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1282		
A_25_P00015238	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1284		
A_25_P00015240	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1288-3p		
A_25_P00015242	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1292-5p		
A_25_P00015244	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1252-5p		
A_25_P00015246	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1255b-5p		
A_25_P00015252	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-664a-3p		
A_25_P00015258	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-513c-5p		
A_25_P00015260	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1321		
A_25_P00015267	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1197		
A_25_P00015269	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1324		
A_25_P00015277	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1827		
A_25_P00015279	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-664a-5p		
A_25_P00015287	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1471		
A_25_P00015291	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1538		
A_25_P00015293	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1910-5p		
A_25_P00015295	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1914-5p		
A_25_P00015297	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1468-5p		
A_25_P00015301	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1911-5p		
A_25_P00015305	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1914-3p		
A_25_P00015307	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1470		
A_25_P00015309	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1909-3p		
A_25_P00015311	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1908-5p		
A_25_P00015317	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1469		
A_25_P00015319	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1915-5p		
A_25_P00015321	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1539		
A_25_P00015325	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1913		
A_25_P00015327	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1912		
A_25_P00015353	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-517c-3p		
A_25_P00015355	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-1537-3p		
A_25_P00015356	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-103b		
A_25_P00015357	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-518f-5p		
