ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00015612	0.0029377	6.28E-04	-3.7091	-0.40323	-2.7665	hsa-miR-4297		
A_25_P00018701	0.0029377	6.34E-04	-3.7062	-0.41096	-2.7712	hsa-miR-6891-3p		
A_25_P00017277	0.0029377	6.38E-04	-3.7036	-0.41801	-2.7754	hsa-miR-4462		
A_25_P00012086	0.0029377	6.44E-04	-3.7008	-0.42545	-2.7797	hsa-miR-34a-5p		
A_25_P00018282	0.0029377	6.45E-04	-3.7003	-0.4267	-2.7804	hsa-miR-6799-5p		
A_25_P00010432	0.0029377	6.45E-04	3.7002	-0.42692	2.9185	hsa-miR-484		
A_25_P00018052	0.0029377	6.45E-04	-3.7	-0.42749	-2.7809	hsa-miR-6758-5p		
A_25_P00018799	0.0029377	6.48E-04	-3.6986	-0.43119	-2.783	hsa-miR-598-5p		
A_25_P00018261	0.0029377	6.60E-04	-3.6922	-0.44834	-2.7927	hsa-miR-7154-5p		
A_25_P00018950	0.0029377	6.64E-04	-3.6904	-0.45312	-2.7953	hsa-miR-6777-5p		
A_25_P00010385	0.0029377	6.64E-04	-3.69	-0.45423	-2.7959	hsa-miR-383-5p		
A_25_P00015807	0.0029377	6.65E-04	-3.6897	-0.45504	-2.7963	hsa-miR-3147		
A_25_P00012589	0.0029377	6.69E-04	-3.6878	-0.46005	-2.7991	hsa-miR-520d-3p		
A_25_P00011584	0.0029377	6.71E-04	3.6863	-0.46385	4.1447	hsa-let-7a-5p		
A_25_P00018288	0.0029377	6.73E-04	-3.6856	-0.46579	-2.8022	hsa-miR-7159-5p		
A_25_P00016679	0.0029377	6.82E-04	-3.6812	-0.47752	-2.8084	hsa-miR-4726-5p		
A_25_P00016621	0.0029377	7.11E-04	-3.6668	-0.51571	-2.8279	hsa-miR-4762-3p		
A_25_P00018276	0.0029377	7.17E-04	-3.6638	-0.52388	-2.832	hsa-miR-6817-5p		
